title,release_year,runtime,id,director,user_reviews,star_rating,vote_count,gross_revenue (million USD),release_month,spring,summer,fall,winter,is_popular_director,G,PG,PG-13,R,Unrated
4179_whatever_it_takes,2000,94,tt0202402,David Raynr,99,5.9,13000,18.647795,March,1,0,0,0,0,0,0,1,0,0
4180_true_believer,1989,108,tt0098524,Joseph Ruben,44,8.0,5700,17.4855,February,0,0,0,1,0,0,0,0,1,0
4181_ghosts_of_mars,2001,98,tt0228333,John Carpenter,536,7.0,60000,22.720472,August,0,1,0,0,0,0,0,0,1,0
4182_mischief,1985,97,tt0089601,Mel Damski,72,6.5,7400,17.384852,February,0,0,0,1,0,0,0,0,1,0
4183_clean_and_sober,1988,124,tt0094884,Glenn Gordon Caron,45,6.5,7500,17.348186,August,0,1,0,0,0,0,0,0,1,0
4184_bingo,1991,89,tt0101455,Matthew Robbins,30,5.0,3200,17.335368,August,0,1,0,0,0,0,1,0,0,0
4185_the_puppet_masters,1994,109,tt0111003,Stuart Orme,88,5.9,10000,17.294084,October,0,0,1,0,0,0,0,0,1,0
4186_the_man_with_one_red_shoe,1985,92,tt0089543,Stan Dragoti,63,5.7,17000,17.290822,July,0,1,0,0,0,0,1,0,0,0
4187_secret_admirer,1985,90,tt0089981,David Greenwalt,48,8.0,8500,17.24573,June,0,1,0,0,0,0,0,0,1,0
4188_manhunter,1986,120,tt0091474,Michael Mann,609,7.4,87000,17.244938,August,0,1,0,0,1,0,0,0,1,0
4189_all_dogs_go_to_heaven_2,1996,82,tt0115509,Larry Leker,48,6.7,7000,17.241356,March,1,0,0,0,0,1,0,0,0,0
4190_u2_rattle_and_hum,1988,99,tt0096328,Phil Joanou,49,8.7,6300,17.201646,November,0,0,1,0,0,0,0,1,0,0
4191_boat_trip,2002,94,tt0285462,Mort Nathan,143,4.7,33000,23.620419,March,1,0,0,0,0,0,0,0,1,0
4192_pollock,2000,122,tt0183659,Ed Harris,166,6.9,30000,19.593126,March,1,0,0,0,0,0,0,0,1,0
4193_the_lost_city_of_z,2016,141,tt1212428,James Gray,332,6.7,103000,27.844348,April,1,0,0,0,0,0,0,1,0,0
4194_leprechaun,1993,92,tt0107387,Mark Jones,253,4.8,32000,17.11388,January,0,0,0,1,0,0,0,0,1,0
4195_blue_velvet,1986,120,tt0090756,David Lynch,894,7.7,231000,17.22098,October,0,0,1,0,1,0,0,0,1,0
4196_the_rich_mans_wife,1996,95,tt0117473,Amy Holden Jones,35,5.0,3600,17.087174,September,0,0,1,0,0,0,0,0,1,0
4197_ski_patrol,1990,91,tt0100631,Richard Correll,31,5.1,4300,17.067946,January,0,0,0,1,0,0,1,0,0,0
4198_macgruber,2010,90,tt1470023,Jorma Taccone,193,7.0,49000,17.848495,May,1,0,0,0,0,0,0,0,1,0
4199_troop_beverly_hills,1989,105,tt0098519,Jeff Kanew,51,5.3,12000,17.017686,March,1,0,0,0,0,0,1,0,0,0
4200_nothing_but_trouble,1991,94,tt0102558,Dan Aykroyd,303,5.1,29000,16.959586,February,0,0,0,1,0,0,0,1,0,0
4201_wise_guys,1986,100,tt0092226,Brian De Palma,43,5.6,6600,16.950932,April,1,0,0,0,1,0,0,0,1,0
4202_legends_of_oz_dorothys_return,2013,88,tt0884726,Will Finn,64,3.0,6400,30.217765,May,1,0,0,0,0,0,1,0,0,0
4203_tender_mercies,1983,92,tt0086423,Bruce Beresford,100,7.5,13000,16.886248,March,1,0,0,0,0,0,1,0,0,0
4204_bebes_kids,1992,72,tt0103783,Bruce W. Smith,33,5.8,5700,16.884324,November,0,0,1,0,0,0,0,1,0,0
4205_play_it_to_the_bone,1999,124,tt0196857,Ron Shelton,64,5.0,13000,17.112958,January,0,0,0,1,0,0,0,0,1,0
4206_sex_drive,2008,109,tt1135985,Sean Anders,134,6.5,94000,27.158421,October,0,0,1,0,0,0,0,0,1,0
4207_something_wicked_this_way_comes,1983,95,tt0086336,Jack Clayton,115,8.0,11000,16.8,April,1,0,0,0,0,0,1,0,0,0
4208_meteor,1979,108,tt0079550,Ronald Neame,128,5.9,8800,16.8,October,0,0,1,0,1,0,1,0,0,0
4209_something_wild,1986,114,tt0091983,Jonathan Demme,115,6.2,22000,16.726401,November,0,0,1,0,1,0,0,0,1,0
4210_mr_jones,1993,114,tt0107611,Mike Figgis,40,6.3,7800,16.69169,October,0,0,1,0,0,0,0,0,1,0
4211_a_simple_wish,1997,89,tt0120133,Michael Ritchie,28,5.3,6000,16.690112,July,0,1,0,0,0,0,1,0,0,0
4212_a_real_pain,2024,90,tt21823606,Jesse Eisenberg,376,8.0,91000,33.201005,November,0,0,1,0,0,0,0,0,1,0
4213_return_to_paradise,1998,111,tt0124595,Joseph Ruben,144,9.0,16000,16.682174,August,0,1,0,0,0,0,0,0,1,0
4214_tenacious_d_in_the_pick_of_destiny,2006,94,tt0365830,Liam Lynch,235,10.0,117000,22.274538,November,0,0,1,0,0,0,0,0,1,0
4215_larger_than_life,1996,93,tt0116823,Howard Franklin,49,5.2,8100,16.631386,November,0,0,1,0,0,0,1,0,0,0
4216_the_love_letter,1999,88,tt0166252,Peter Ho-Sun Chan,87,6.4,4800,17.441623,May,1,0,0,0,0,0,0,0,1,0
4217_the_cooler,2003,101,tt0318374,Wayne Kramer,236,6.9,36000,18.75636,January,0,0,0,1,0,0,0,0,1,0
4218_downhill,2020,86,tt4558376,Nat Faxon,406,4.9,14000,17.186256,February,0,0,0,1,0,0,0,0,1,0
4219_deadly_blessing,1981,100,tt0082245,Wes Craven,90,5.5,7400,16.558084,August,0,1,0,0,0,0,0,0,1,0
4220_crybaby,1990,85,tt0099329,John Waters,195,6.5,67000,16.532998,April,1,0,0,0,0,0,0,1,0,0
4221_satisfaction,1988,92,tt0096037,Joan Freeman,49,4.9,4000,16.506246,February,0,0,0,1,0,0,0,1,0,0
4222_dazed_and_confused,1993,103,tt0106677,Richard Linklater,571,7.6,208000,16.50848,September,0,0,1,0,1,0,0,0,1,0
4223_the_blob,1988,95,tt0094761,Chuck Russell,253,6.7,47000,16.496467,August,0,1,0,0,0,0,0,0,1,0
4224_tall_tale,1995,96,tt0111359,Jeremiah S. Chechik,41,5.5,4500,19.295254,March,1,0,0,0,0,0,1,0,0,0
4225_the_many_saints_of_newark,2021,120,tt8110232,Alan Taylor,1300,6.3,66000,21.274806,October,0,0,1,0,0,0,0,0,1,0
4226_blue_steel,1990,102,tt0099160,Kathryn Bigelow,118,5.8,19000,16.435994,March,1,0,0,0,0,0,0,0,1,0
4227_whose_life_is_it_anyway,1981,119,tt0083326,John Badham,34,6.7,3700,16.41229,January,0,0,0,1,0,0,0,0,1,0
4228_lucas,1986,100,tt0091445,David Seltzer,77,8.0,18000,16.4,March,1,0,0,0,0,0,0,1,0,0
4229_cadillac_records,2008,109,tt1042877,Darnell Martin,113,8.0,24000,17.079195,December,0,0,0,1,0,0,0,0,1,0
4230_beau_is_afraid,2023,179,tt13521006,Ari Aster,517,6.6,71000,20.51394,April,1,0,0,0,0,0,0,0,1,0
4231_nick_of_time,1995,90,tt0113972,John Badham,171,6.3,46000,16.350692,November,0,0,1,0,0,0,0,0,1,0
4232_firestorm,1998,89,tt0120670,Dean Semler,56,5.5,4500,16.330424,January,0,0,0,1,0,0,0,0,1,0
4233_deepstar_six,1989,99,tt0097179,Sean S. Cunningham,112,5.0,14000,16.28645,January,0,0,0,1,0,0,0,0,1,0
4234_code_name_the_cleaner,2007,84,tt0462229,Les Mayfield,34,5.5,12000,18.472501,January,0,0,0,1,0,0,0,1,0,0
4235_delta_farce,2007,90,tt0800003,C.B. Harding,73,3.4,12000,16.860003,May,1,0,0,0,0,0,0,1,0,0
4236_dead_bang,1989,102,tt0097166,John Frankenheimer,41,6.2,4800,16.251184,March,1,0,0,0,1,0,0,0,1,0
4237_prince_of_the_city,1981,167,tt0082945,Sidney Lumet,73,6.2,10000,16.248514,August,0,1,0,0,1,0,0,0,1,0
